affiliationID,normalizedName,displayName,GRIDid,wiki,paperTotal,paperFamilyTotal,citationTotal,Iso3166Code,Latitude,Longitude
170396143,national botanical research institute,National Botanical Research Institute,grid.417642.2,http://en.wikipedia.org/wiki/National_Botanical_Research_Institute,2364,2364,48630,IN,26.8560715,80.9493561
172980758,kennesaw state university,Kennesaw State University,grid.258509.3,http://en.wikipedia.org/wiki/Kennesaw_State_University,5771,5691,75687,US,34.0378761,-84.58102
173434221,harare institute of technology,Harare Institute of Technology,grid.462301.2,http://en.wikipedia.org/wiki/Harare_Institute_of_Technology,109,109,576,ZW,-17.838,31.008
185071736,chapman university,Chapman University,grid.254024.5,http://en.wikipedia.org/wiki/Chapman_University,5294,5163,64738,US,33.79278,-117.851387
186803428,brock university,Brock University,grid.411793.9,http://en.wikipedia.org/wiki/Brock_University,11833,11655,215871,CA,43.119,-79.249
190087913,biocon,Biocon,grid.476061.2,http://en.wikipedia.org/wiki/Biocon,525,491,6551,MY,1.46894848,103.594521
192209268,shaoxing university,Shaoxing University,grid.412551.6,http://en.wikipedia.org/wiki/Shaoxing_University,3355,3295,24229,CN,29.9906712,120.574432
201726411,united arab emirates university,United Arab Emirates University,grid.43519.3a,http://en.wikipedia.org/wiki/United_Arab_Emirates_University,12337,12208,195949,AE,24.2287655,55.7474632
210167222,foro italico university of rome,Foro Italico University of Rome,grid.412756.3,http://en.wikipedia.org/wiki/Foro_Italico_University_of_Rome,75,75,1150,IT,41.9315,12.4576
286312201,suzhou polytechnic institute of agriculture,Suzhou Polytechnic Institute of Agriculture,"",http://en.wikipedia.org/wiki/Suzhou_Polytechnic_Institute_of_Agriculture,254,254,477,"","",""
924760719,university of north georgia,University of North Georgia,grid.412232.4,http://en.wikipedia.org/wiki/University_of_North_Georgia,785,765,2629,US,34.52886,-83.98172
1288880153,necker enfants malades hospital,Necker-Enfants Malades Hospital,grid.412134.1,http://en.wikipedia.org/wiki/Necker-Enfants_Malades_Hospital,17741,17641,478046,FR,48.845,2.31556
1289142772,international development research centre,International Development Research Centre,grid.419341.a,http://en.wikipedia.org/wiki/International_Development_Research_Centre,431,429,11665,CA,45.4187965,-75.7022858
1302084367,providence saint joseph medical center,Providence Saint Joseph Medical Center,grid.490448.5,http://en.wikipedia.org/wiki/Providence_Saint_Joseph_Medical_Center,86,85,1359,US,34.155,-118.3266
1308814778,hastings center,Hastings Center,grid.418431.b,http://en.wikipedia.org/wiki/The_Hastings_Center,614,604,8339,US,41.39237,-73.93611
1331871522,defense threat reduction agency,Defense Threat Reduction Agency,grid.452918.3,http://en.wikipedia.org/wiki/Defense_Threat_Reduction_Agency,342,335,4221,US,38.717,-77.162
1336296694,berkshire medical center,Berkshire Medical Center,grid.414445.4,http://en.wikipedia.org/wiki/Berkshire_Medical_Center,232,231,5412,US,42.4595,-73.2492
2801255070,l v prasad eye institute,L V Prasad Eye Institute,grid.417748.9,http://en.wikipedia.org/wiki/L._V._Prasad_Eye_Institute,2517,2510,30802,IN,17.4246426,78.42751
2801456857,juravinski hospital,Juravinski Hospital,grid.414019.9,http://en.wikipedia.org/wiki/Juravinski_Hospital,199,198,2217,CA,43.23972,-79.84472
2801587414,beilstein institut,Beilstein-Institut,grid.483783.3,https://en.wikipedia.org/wiki/Beilstein_Institute_for_the_Advancement_of_Chemical_Sciences,76,73,1017,DE,50.12603,8.627268
2801962973,unit of virus host cell interactions,Unit of Virus Host Cell Interactions,grid.462777.7,https://en.wikipedia.org/wiki/Unit_for_Viral_Host_Cell_Interactions,239,236,10504,FR,45.1881523,5.72464
2802343024,our lady of fatima hospital,Our Lady of Fatima Hospital,grid.461552.1,https://en.wikipedia.org/wiki/Our_Lady_of_Fatima_Hospital,14,14,144,US,41.8553925,-71.45981
2802525748,white ribbon alliance,White Ribbon Alliance,grid.479619.4,https://en.wikipedia.org/wiki/White_Ribbon_Alliance_for_Safe_Motherhood,17,17,80,US,38.9005623,-77.04373
2803066834,fondazione irccs ca granda ospedale maggiore policlinico,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,grid.414818.0,https://en.wikipedia.org/wiki/Ospedale_Maggiore,15191,15130,268162,IT,45.46,9.1924
9323808,daegu university,Daegu University,grid.412077.7,http://en.wikipedia.org/wiki/Daegu_University,3940,3922,43436,KR,36.38,129.403
12356871,telecom paristech,Télécom ParisTech,grid.463717.0,http://en.wikipedia.org/wiki/Télécom_ParisTech,7330,6823,122436,FR,48.82639,2.346389
19820366,chinese academy of sciences,Chinese Academy of Sciences,grid.9227.e,http://en.wikipedia.org/wiki/Chinese_Academy_of_Sciences,577585,566667,9384855,US,39.68156,-75.7518845
38706770,guilin university of technology,Guilin University of Technology,grid.440725.0,http://en.wikipedia.org/wiki/Guilin_University_of_Technology,7677,7654,35020,CN,25.2811317,110.3166
41047195,military university nueva granada,Military University Nueva Granada,grid.412208.d,http://en.wikipedia.org/wiki/Nueva_Granada_Military_University,4229,4194,5778,CO,4.68307,-74.0419
74973139,carnegie mellon university,Carnegie Mellon University,grid.147455.6,http://www.cmu.edu/index.shtml,96954,91785,4049692,US,40.44332,-79.94358
94876832,dundalk institute of technology,Dundalk Institute of Technology,grid.418613.9,http://en.wikipedia.org/wiki/Dundalk_Institute_of_Technology,739,733,7788,IE,53.98379,-6.391601
99557698,osmania medical college,Osmania Medical College,grid.417029.9,http://en.wikipedia.org/wiki/Osmania_Medical_College,605,605,2403,IN,17.3821468,78.48455
111979921,northwestern university,Northwestern University,grid.16753.36,http://en.wikipedia.org/wiki/Northwestern_University,186396,183015,6735514,US,42.05485,-87.67394
153904384,university of languages and international studies,University of Languages and International Studies,grid.444960.b,http://en.wikipedia.org/wiki/University_of_Languages_and_International_Studies,5199,5191,2575,VN,21.04452,105.781326
154425047,university of alberta,University of Alberta,grid.17089.37,http://en.wikipedia.org/wiki/University_of_Alberta,146138,143882,3710257,CA,53.52444,-113.524437
164213776,king s college,King's College,grid.468921.0,http://en.wikipedia.org/wiki/King's_College_(Pennsylvania),4140,4096,113314,US,41.24806,-75.8775
168180000,university of mataram,University of Mataram,grid.443796.b,http://en.wikipedia.org/wiki/University_of_Mataram,512,511,2117,ID,-8.590111,116.092461
170535673,sana a university,Sana'a University,grid.412413.1,http://en.wikipedia.org/wiki/Sana'a_University,1450,1450,15840,YE,15.3650913,44.1844673
173654999,american medical association,American Medical Association,grid.413701.0,http://en.wikipedia.org/wiki/American_Medical_Association,1854,1774,110348,US,41.8804741,-87.69351
177436651,mahatma gandhi university,Mahatma Gandhi University,grid.411552.6,http://en.wikipedia.org/wiki/MG_University,3447,3399,53688,IN,9.850904,76.94013
199932263,northern alberta institute of technology,Northern Alberta Institute of Technology,grid.422810.d,http://en.wikipedia.org/wiki/Northern_Alberta_Institute_of_Technology,151,149,901,CA,53.5695839,-113.503227
238432819,civil aviation authority,Civil Aviation Authority,grid.421235.3,http://en.wikipedia.org/wiki/Civil_Aviation_Authority_(United_Kingdom),189,188,1362,GB,51.5148544,-0.119039
248621492,ministry of livestock and fisheries development,Ministry of Livestock and Fisheries Development,grid.463465.6,http://en.wikipedia.org/wiki/Ministry_of_Livestock_and_Fisheries_Development,56,56,707,TZ,-6.81667,39.29444
290407205,meenakshi academy of higher education and research,Meenakshi Academy of Higher Education and Research,grid.444359.b,http://en.wikipedia.org/wiki/Meenakshi_Academy_of_Higher_Education_and_Research,99,99,327,IN,13.014,80.107
338016083,university of sadat city,University of Sadat City,grid.449877.1,http://en.wikipedia.org/wiki/University_of_Sadat_City,717,716,3495,EG,30.36944,30.4975
883101408,geneva academy of international humanitarian law and human rights,Geneva Academy of International Humanitarian Law and Human Rights,"",http://en.wikipedia.org/wiki/Geneva_Academy_of_International_Humanitarian_Law_and_Human_Rights,109,109,180,CH,46.20833,6.14275
