affiliationID,displayName,normalizedName,wiki,paperTotal,citationTotal,Latitude,Longitude,GRIDid
1333985979,"Japanese Ministry of Health, Labour and Welfare",japanese ministry of health labour and welfare,"http://en.wikipedia.org/wiki/Ministry_of_Health,_Labour,_and_Welfare",332,5163,35.673,139.753,grid.415828.2
2800621266,West Hertfordshire Hospitals NHS Trust,west hertfordshire hospitals nhs trust,https://en.wikipedia.org/wiki/West_Hertfordshire_Hospitals_NHS_Trust,215,4787,51.75283,-0.46852,grid.439697.6
2800653546,Japan Medical Association,japan medical association,https://en.wikipedia.org/wiki/Japan_Medical_Association,89,388,35.7308922,139.748138,grid.489695.f
2800997546,Royal College of Midwives,royal college of midwives,https://en.wikipedia.org/wiki/Royal_College_of_Midwives,96,1243,51.5193443,-0.147401,grid.467531.2
2801357902,Carlos III Health Institute,carlos iii health institute,https://en.wikipedia.org/wiki/Carlos_III_Health_Institute,25463,519049,40.4756966,-3.690059,grid.413448.e
2801418622,Auckland City Hospital,auckland city hospital,https://en.wikipedia.org/wiki/Auckland_City_Hospital,4416,124179,-36.86055,174.769943,grid.414055.1
4104125,Universidade Federal de Santa Catarina,universidade federal de santa catarina,http://en.wikipedia.org/wiki/Federal_University_of_Santa_Catarina,59875,402319,-27.60111,-48.52,grid.411237.2
8764889,University of Gondar,university of gondar,http://en.wikipedia.org/wiki/University_of_Gondar,2628,40617,12.61472,37.45222,grid.59547.3a
10899854,Jiangxi University of Traditional Chinese Medicine,jiangxi university of traditional chinese medicine,http://en.wikipedia.org/wiki/Jiangxi_University_of_Traditional_Chinese_Medicine,2828,10352,28.6775,115.7456,grid.411868.2
11855966,Diponegoro University,diponegoro university,http://en.wikipedia.org/wiki/Diponegoro_University,23752,16094,-7.049,110.438,grid.412032.6
12411659,Tianjin University of Traditional Chinese Medicine,tianjin university of traditional chinese medicine,http://en.wikipedia.org/wiki/Tianjin_University_of_Traditional_Chinese_Medicine,4464,24282,39.11713,117.168022,grid.410648.f
14429277,Academia Nacional de Medicina,academia nacional de medicina,http://en.wikipedia.org/wiki/Academia_Nacional_de_Medicina,2804,16804,-34.58389,-58.4058342,grid.417797.b
15196421,SUPSI,supsi,http://en.wikipedia.org/wiki/SUPSI,1086,10890,46.0233,8.9172,grid.16058.3a
16337185,University of Sannio,university of sannio,http://en.wikipedia.org/wiki/University_of_Sannio,3783,69884,41.1274,14.7814,grid.47422.37
21724602,Hsuan Chuang University,hsuan chuang university,http://en.wikipedia.org/wiki/Hsuan_Chuang_University,287,3911,24.7759,120.9437,grid.445033.5
43777268,Nagasaki University,nagasaki university,http://en.wikipedia.org/wiki/Nagasaki_University,32175,484104,32.78611,129.8664,grid.174567.6
55547365,Payame Noor University,payame noor university,http://en.wikipedia.org/wiki/Payame_Noor_University,9793,65351,35.80083,51.5025,grid.412462.7
60559429,Nazarbayev University,nazarbayev university,http://en.wikipedia.org/wiki/Nazarbayev_University,3857,18499,51.09,71.39944,grid.428191.7
66906201,University of Yamanashi,university of yamanashi,http://en.wikipedia.org/wiki/University_of_Yamanashi,9564,133426,35.67833,138.573059,grid.267500.6
75063564,Tarleton State University,tarleton state university,http://en.wikipedia.org/wiki/Tarleton_State_University,1065,13831,32.2139,-98.2154,grid.264601.7
85389745,Woosong University,woosong university,http://en.wikipedia.org/wiki/Woosong_University,670,4505,36.338,127.446,grid.457406.4
94396219,Providence Health & Services,providence health services,http://en.wikipedia.org/wiki/Providence_Health_&_Services,291,4637,47.4634247,-122.22496,grid.415286.c
97565354,University of Lausanne,university of lausanne,http://en.wikipedia.org/wiki/University_of_Lausanne,43010,1392703,46.5225,6.57944,grid.9851.5
100188998,Harbin University of Science and Technology,harbin university of science and technology,http://en.wikipedia.org/wiki/Harbin_University_of_Science_and_Technology,11230,36629,45.7141,126.617,grid.411994.0
110116418,Maharaja Sayajirao University of Baroda,maharaja sayajirao university of baroda,http://en.wikipedia.org/wiki/Maharaja_Sayajirao_University_of_Baroda,5603,68207,22.3099,73.186,grid.411494.d
131632401,Teikyo Heisei University,teikyo heisei university,http://en.wikipedia.org/wiki/Teikyo_Heisei_University,839,6752,35.5049744,140.17305,grid.440938.2
136199984,Harvard University,harvard university,http://en.wikipedia.org/wiki/Harvard_University,494341,26497137,42.37444,-71.11694,grid.38142.3c
137613304,Al-Baath University,al baath university,http://en.wikipedia.org/wiki/Al-Baath_University,151,1466,34.71278,36.70861,grid.36402.33
138164181,Alexandru Ioan Cuza University,alexandru ioan cuza university,http://en.wikipedia.org/wiki/Alexandru_Ioan_Cuza_University,4699,24949,47.1742325,27.5716915,grid.8168.7
143578492,Asia University (Taiwan),asia university,http://en.wikipedia.org/wiki/Asia_University_(Taiwan),1208,18347,24.0469418,120.686523,grid.252470.6
146682468,National Institute for Interdisciplinary Science and Technology,national institute for interdisciplinary science and technology,http://en.wikipedia.org/wiki/National_Institute_for_Interdisciplinary_Science_and_Technology,2371,46403,8.470214,76.99163,grid.419023.d
154893126,Guizhou Normal University,guizhou normal university,http://en.wikipedia.org/wiki/Guizhou_Normal_University,5491,13746,26.5875988,106.721619,grid.443395.c
170347488,National Environmental Engineering Research Institute,national environmental engineering research institute,http://en.wikipedia.org/wiki/National_Environmental_Engineering_Research_Institute,2052,37013,21.1228065,79.0710754,grid.419340.b
186523950,Regeneron,regeneron,http://en.wikipedia.org/wiki/Regeneron,2580,157790,41.0843048,-73.83238,grid.418961.3
